City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
78,Georgetown,MY,5.4112,100.3354,78.89,87,20,0.0,few clouds
79,Greenwood,US,34.1668,-82.1165,55.47,37,1,5.75,clear sky
80,Alofi,NU,-19.0595,-169.9187,82.29,74,40,9.22,scattered clouds
81,Bati,ET,11.1833,40.0167,62.33,44,18,1.9,few clouds
82,Shelburne,CA,44.0787,-80.2041,25.66,75,100,10.29,overcast clouds
83,Upernavik,GL,72.7868,-56.1549,26.24,80,100,1.77,overcast clouds
84,Prince George,CA,53.9166,-122.753,7.25,81,68,1.01,broken clouds
85,Yarega,RU,63.4354,53.5765,-16.98,98,37,6.35,scattered clouds
86,Tiksi,RU,71.6872,128.8694,-15.75,99,100,3.09,overcast clouds
87,Uniontown,US,39.9001,-79.7164,39.85,35,67,4.63,broken clouds
88,Provideniya,RU,64.3833,-173.3,3.31,78,90,11.18,overcast clouds
89,Ritchie,ZA,-29.038,24.6028,67.17,56,86,10.33,overcast clouds
90,Campestre,BR,-21.7111,-46.2464,64.92,91,89,6.71,light rain
91,Mahebourg,MU,-20.4081,57.7,79.25,88,75,5.75,broken clouds
92,Ampanihy,MG,-24.7,44.75,73.94,74,96,4.36,overcast clouds
93,Port Elizabeth,ZA,-33.918,25.5701,60.1,84,99,6.6,overcast clouds
94,Kruisfontein,ZA,-34.0033,24.7314,57.88,87,100,5.37,overcast clouds
95,Meulaboh,ID,4.1363,96.1285,74.91,89,78,4.07,broken clouds
96,Evensk,RU,61.95,159.2333,-2.74,79,100,14.72,overcast clouds
97,Yinchuan,CN,38.4681,106.2731,22.1,44,22,8.77,few clouds
98,Shimoda,JP,34.6667,138.95,52.12,64,13,20.04,few clouds
99,Barrow,US,71.2906,-156.7887,-3.98,77,90,19.57,haze
100,Mareeba,AU,-17.0,145.4333,86.32,76,61,1.07,broken clouds
101,Hithadhoo,MV,-0.6,73.0833,81.37,72,33,3.2,scattered clouds
102,Ilulissat,GL,69.2167,-51.1,28.42,93,100,5.75,light snow
103,Xiamen,CN,24.4798,118.0819,62.26,77,100,3.65,overcast clouds
104,Oranjemund,NA,-28.55,16.4333,64.27,93,3,4.94,clear sky
105,Matagami,CA,49.7502,-77.6328,-6.92,99,98,2.46,overcast clouds
106,Nichinan,JP,31.6,131.3667,46.76,81,89,6.4,overcast clouds
107,Sisimiut,GL,66.9395,-53.6735,27.54,93,100,4.81,light snow
108,Bathsheba,BB,13.2167,-59.5167,81.21,74,40,17.27,scattered clouds
109,Dve Mogili,BG,43.6,25.8667,23.02,64,97,3.69,overcast clouds
110,Cape Town,ZA,-33.9258,18.4232,67.12,73,0,1.01,clear sky
111,Saint-Pierre,RE,-21.3393,55.4781,78.48,79,0,4.61,clear sky
