City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Punta Arenas,CL,2021-12-21 20:37:53,-53.15,-70.9167,62.71,51,40,36.82
68,Upernavik,GL,2021-12-21 20:38:20,72.7868,-56.1549,24.91,69,11,4.88
69,Ust-Maya,RU,2021-12-21 20:38:20,60.4167,134.5333,-44.07,100,95,0.72
70,Richards Bay,ZA,2021-12-21 20:38:21,-28.783,32.0377,69.26,92,100,12.17
71,Bambous Virieux,MU,2021-12-21 20:38:21,-20.3428,57.7575,79.05,78,75,13.8
72,Port Lincoln,AU,2021-12-21 20:36:11,-34.7333,135.8667,61.39,75,85,11.56
73,Kloulklubed,PW,2021-12-21 20:38:21,7.0419,134.2556,81.5,78,100,23.09
74,Manjacaze,MZ,2021-12-21 20:38:22,-24.7117,33.8828,69.31,80,36,6.78
75,Iqaluit,CA,2021-12-21 20:38:22,63.7506,-68.5145,-2.31,77,90,38.99
76,Lebu,CL,2021-12-21 20:38:22,-37.6167,-73.65,60.26,72,0,21.59
77,Kokopo,PG,2021-12-21 20:38:23,-4.352,152.2633,79.2,81,64,4.59
78,Annau,TM,2021-12-21 20:38:23,37.8876,58.516,56.7,33,0,2.3
79,Waipawa,NZ,2021-12-21 20:38:23,-41.4122,175.5153,65.44,60,0,11.36
80,San Cristobal,VE,2021-12-21 20:38:24,7.7669,-72.225,78.98,55,100,1.63
81,Auraiya,IN,2021-12-21 20:38:24,26.4667,79.5167,52.81,30,3,3.6
82,Peniche,PT,2021-12-21 20:38:24,39.3558,-9.3811,61.88,92,98,16.6
83,Moron,AR,2021-12-21 20:38:25,-34.6534,-58.6198,87.94,41,67,8.01
84,Abonnema,NG,2021-12-21 20:38:25,4.7084,6.7931,79.72,66,40,4.74
85,Razole,IN,2021-12-21 20:38:25,16.4833,81.8333,64.9,85,5,2.01
86,Khatanga,RU,2021-12-21 20:38:26,71.9667,102.5,-25.42,100,94,6.93
87,Jurmala,LV,2021-12-21 20:38:26,56.968,23.7704,12.22,92,90,3.44
88,Hermanus,ZA,2021-12-21 20:37:43,-34.4187,19.2345,73.9,86,38,9.4
89,Norman Wells,CA,2021-12-21 20:39:26,65.282,-126.8329,-3.96,77,75,2.3
90,Tateyama,JP,2021-12-21 20:39:27,34.9833,139.8667,42.82,61,0,9.46
91,Flinders,AU,2021-12-21 20:39:27,-34.5833,150.8552,71.2,88,94,4.85
92,Coxim,BR,2021-12-21 20:39:27,-18.5067,-54.76,83.48,78,99,1.05
93,Lompoc,US,2021-12-21 20:35:48,34.6391,-120.4579,66.02,70,1,8.05
94,Pine Castle,US,2021-12-21 20:39:28,28.472,-81.3679,73.45,80,75,1.01
95,Leningradskiy,RU,2021-12-21 20:39:28,69.3833,178.4167,-3.26,71,14,20.74
96,Nerchinskiy Zavod,RU,2021-12-21 20:39:28,51.3088,119.61,-31.61,98,42,1.36
97,Teknaf,BD,2021-12-21 20:39:29,20.8624,92.3058,60.85,82,8,3.85
98,Fortuna,US,2021-12-21 20:39:29,40.5982,-124.1573,52.14,89,20,8.99
99,Port Alfred,ZA,2021-12-21 20:39:29,-33.5906,26.891,69.64,93,40,14.9
100,Tasiilaq,GL,2021-12-21 20:39:30,65.6145,-37.6368,30.36,59,92,5.99
101,Mandurah,AU,2021-12-21 20:39:30,-32.55,115.7,67.21,72,1,10.27
102,Kamakwie,SL,2021-12-21 20:39:30,9.5,-12.2333,78.22,27,22,2.01
103,Swidwin,PL,2021-12-21 20:39:31,53.7746,15.7767,28.96,100,90,2.24
104,Morro Bay,US,2021-12-21 20:39:31,35.3658,-120.8499,64.58,57,98,1.01
105,Itaituba,BR,2021-12-21 20:34:59,-4.2761,-55.9836,87.96,74,40,9.22
106,Taoudenni,ML,2021-12-21 20:39:31,22.6783,-3.9836,72.79,27,100,10.89
107,Teguise,ES,2021-12-21 20:39:32,29.0605,-13.564,64.62,77,20,4.61
108,Ugoofaaru,MV,2021-12-21 20:39:32,5.6667,73.0,80.74,75,96,7.29
109,Port Hardy,CA,2021-12-21 20:39:32,50.6996,-127.4199,37.4,86,75,4.61
110,Kapaa,US,2021-12-21 20:39:33,22.0752,-159.319,75.18,76,90,7.0
111,Kenai,US,2021-12-21 20:39:33,60.5544,-151.2583,12.15,87,1,0.0
112,Hami,CN,2021-12-21 20:39:33,42.8,93.45,24.87,48,14,6.53
113,Dikson,RU,2021-12-21 20:39:34,73.5069,80.5464,-24.23,92,96,15.43
114,Skibbereen,IE,2021-12-21 20:39:34,51.55,-9.2667,48.0,84,100,17.96
115,Lensk,RU,2021-12-21 20:39:34,60.7253,114.9278,-28.12,99,100,3.53
116,Vostok,RU,2021-12-21 20:39:35,46.4856,135.8833,-13.63,99,100,3.11
117,Chinsali,ZM,2021-12-21 20:39:35,-10.5414,32.0816,67.17,82,67,3.76
