City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
225,Kismayo,SO,80.33,overcast clouds,-0.3582,42.5454,Agan-Hotel
227,Porto Santo,PT,64.78,broken clouds,33.072,-16.3415,Hotel Porto Santo & Spa
228,Maues,BR,77.05,overcast clouds,-3.3836,-57.7186,Hotel Miramar
229,Loja,EC,63.01,light rain,-3.9931,-79.2042,Hotel Libertador
230,San Cristobal,VE,77.18,overcast clouds,7.7669,-72.225,Posada Villaven C.A.
231,Aquiraz,BR,82.49,scattered clouds,-3.9014,-38.3911,Pousada Rua Camurupim
241,Pemba,MZ,82.04,broken clouds,-12.974,40.5178,Guesthouse Samotina
242,Damara,CF,85.42,overcast clouds,4.9608,18.7035,
243,Benguela,AO,75.06,clear sky,-12.5763,13.4055,Hotel Praia Morena
244,Yulara,AU,80.44,overcast clouds,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
246,Morondava,MG,78.46,broken clouds,-20.2833,44.2833,La Case Bambou
247,Ishikawa,JP,71.92,broken clouds,26.4233,127.8214,Sheraton Okinawa Sunmarina Resort
249,Luganville,VU,82.44,scattered clouds,-15.5333,167.1667,The Espiritu Hotel
250,Winslow,US,64.58,broken clouds,35.0242,-110.6974,Best Western Plus Winslow Inn
252,Clearwater,US,67.96,clear sky,27.9659,-82.8001,Shephard's Beach Resort
253,Salta,AR,70.09,overcast clouds,-24.7859,-65.4117,Hotel Alejandro I
255,Kasongo,CD,67.84,overcast clouds,-4.45,26.6667,Guest Hôtel
256,Broken Hill,AU,81.64,clear sky,-31.95,141.4333,Royal Exchange Hotel
257,Cabedelo,BR,81.27,scattered clouds,-6.9811,-34.8339,Hotel Pigalle
258,Marsh Harbour,BS,72.86,clear sky,26.5412,-77.0636,Abaco Beach Resort
259,Chanika,TZ,69.1,broken clouds,-5.4167,38.0167,New Rombo Green Hotel
262,Jutai,BR,79.63,overcast clouds,-5.1833,-68.9,
264,Ponta Delgada,PT,61.52,scattered clouds,37.7333,-25.6667,Vila Nova Hotel
265,Namibe,AO,69.4,overcast clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
266,Warangal,IN,62.53,clear sky,18.0,79.5833,Supreme Hotels
272,Iaciara,BR,70.41,overcast clouds,-14.0958,-46.6317,Hotel Matinha
273,Brownsville,US,77.11,clear sky,25.9018,-97.4975,University Inn & Suites
275,Sao Gabriel Da Cachoeira,BR,77.4,moderate rain,-0.1303,-67.0892,Alarne - Área De Lazer Do Alto Rio Negro
276,Kavieng,PG,82.38,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
280,Faanui,PF,82.06,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
281,Airai,TL,60.69,overcast clouds,-8.9266,125.4092,Juvinal Martin
282,Boende,CD,72.52,overcast clouds,-0.2167,20.8667,
283,Hokitika,NZ,60.01,overcast clouds,-42.7167,170.9667,Beachfront Hotel Hokitika
286,Carnarvon,AU,73.47,clear sky,-24.8667,113.6333,Hospitality Carnarvon
288,Aripuana,BR,76.68,overcast clouds,-9.1667,-60.6333,
290,Sao Filipe,CV,74.95,clear sky,14.8961,-24.4956,Hotel Xaguate
291,Inirida,CO,78.84,light rain,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
293,Caravelas,BR,77.22,very heavy rain,-17.7125,-39.2481,Pousada dos Navegantes
294,Martil,MA,60.87,scattered clouds,35.6166,-5.2752,فندق مرتيل
297,Emerald,AU,82.98,light rain,-23.5333,148.1667,The Irish Village
298,Vallenar,CL,77.56,few clouds,-28.5708,-70.7581,Humacao Bed & Breakfast
300,The Woodlands,US,75.92,scattered clouds,30.158,-95.4894,The Woodlands Resort
301,Guerrero Negro,MX,72.9,overcast clouds,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
303,Kiama,AU,73.38,overcast clouds,-34.6833,150.8667,The Sebel Kiama Harbourside
304,Goure,NE,69.03,few clouds,13.9835,10.2704,
308,Asfi,MA,61.99,overcast clouds,32.2994,-9.2372,Hôtel Abda
309,Dingle,PH,73.18,broken clouds,10.9995,122.6711,SEGAYA PROPERTY
311,Cururupu,BR,77.86,overcast clouds,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
312,Mporokoso,ZM,62.47,light rain,-9.3727,30.125,Government Guest House
316,Victoria,HK,66.94,light rain,22.2855,114.1577,Mini Hotel Central
318,Kumta,IN,71.15,few clouds,14.4167,74.4,Hotel Vaibhav Palace
326,Belmonte,BR,79.3,light rain,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
328,Trairi,BR,80.8,scattered clouds,-3.2778,-39.2689,janelas do mar
329,Half Moon Bay,US,61.05,fog,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
331,Poum,NC,80.94,few clouds,-20.2333,164.0167,Gîte kajeon
332,Blythe,US,75.65,scattered clouds,33.6103,-114.5964,Rodeway Inn & Suites
333,Salinopolis,BR,81.68,overcast clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
